X,station_no,River,Station,Country,Latitude(DD),Longitude(DD),Catchmentarea(kmÂ²),Altitude(mASL),Nextdownstreamstation,Weather_Station
9,6335020,RHINERIVER,REES,DE,51.756918,6.395395,159300,8,6435060,617
10,6335030,RUHR,HATTINGEN,DE,51.39975,7.161034,4078,64.69,6335020,4741
11,6335031,RUHR,VILLIGST,DE,51.435987,7.581097,1988,105.83,6335030,4741
12,6335032,RUHR,MESCHEDE,DE,51.347759,8.280575,425,265.3,6335031,1283
13,6335045,SIEG,MENDEN1,DE,50.797901,7.159168,2832,52.03,6335050,2968
15,6335050,RHINERIVER,DUESSELDORF,DE,51.225547,6.770183,147680,24.48,6335020,2968
16,6335060,RHINERIVER,KOELN,DE,50.936961,6.963293,144232,34.97,6335050,2968
17,6335070,RHINERIVER,ANDERNACH,DE,50.443386,7.39205,139549,51.47,6335060,3969
18,6335076,WIED,FRIEDRICHSTHAL,DE,50.50212,7.445735,697,86.62,6335070,121
19,6335080,LIPPE,SCHERMBECK1,DE,51.673858,6.85115,-999,-999,6335020,617
20,6335081,LIPPE,KESSELER3,DE,51.662965,8.089404,2005,67.86,6335083,1283
21,6335082,LIPPE,BENTFELD,DE,51.748833,8.630535,1018,92.33,6335081,3202
22,6335083,LIPPE,HALTERN,DE,51.745286,7.186915,4249,34.78,6335080,617
23,6335100,RHINERIVER,KAUB,DE,50.085444,7.764967,103488,67.66,6335070,4918
24,6335115,NAHE,GROLSHEIM,DE,49.911575,7.910784,4013,85,6335100,4918
25,6335116,NAHE,BOOS,DE,49.779979,7.720317,2832,133.73,6335115,316
26,6335125,KINZIG,SCHWAIBACH,DE,48.391719,8.03256,954,173,6335200,1089
27,6335150,RHINERIVER,MAINZ,DE,50.003988,8.275313,98206,78.43,6335100,2407
28,6335170,RHINERIVER,SPEYER,DE,49.323807,8.448717,53131,88.52,6335180,5692
29,6335180,RHINERIVER,WORMS,DE,49.64112,8.376019,68827,84.16,6335150,5692
30,6335190,SPEYERBACH,NEUSTADT/WEINSTRASSE,DE,49.350089,8.138863,311,144.54,6335180,1072
31,6335200,RHINERIVER,MAXAU,DE,49.038985,8.305563,50196,97.79,6335170,4177
32,6335240,MAIN,KLEINHEUBACH,DE,49.716475,9.224584,21505,119.62,6335304,755
33,6335301,MAIN,SCHWEINFURT-NEUERHAFEN,DE,50.031196,10.220815,12715,201.16,6335500,3257
34,6335302,MAIN,STEINBACH,DE,50.009995,9.603865,17914,146.33,6335240,3257
36,6335304,MAIN,FRANKFURT/MAIN(OSTHAFEN),DE,50.105773,8.714986,24764,90.64,6335150,5692
37,6335310,KINZIG,HANAU,DE,50.132082,8.945812,921,104.74,6335304,755
38,6335350,LAHN,LEUN(NEU),DE,50.545162,8.355248,3571,135,6335070,4692
39,6335351,LAHN,MARBURG,DE,50.798716,8.764489,1667,166.38,6335350,1283
40,6335400,RHINERIVER,RHEINFELDEN,DE,47.561464,7.800326,34550,259.59,6935053,3047
41,6335410,WUTACH,OBERLAUCHINGEN,DE,47.623306,8.325545,627.13,351.17,6335400,3041
42,6335450,ARGEN,GIESSEN,DE,47.627989,9.595917,639.34,420.13,6935055,5723
44,6335460,SCHUSSEN,GERBERTSHAUS,DE,47.672577,9.534877,782.01,401.58,6935055,5723
46,6335500,MAIN,WUERZBURG,DE,49.796,9.926,14031,164.55,6335302,3257
47,6335600,NECKAR,ROCKENAU-SKA,DE,49.438249,9.005032,12710,120.04,6335180,1899
48,6335601,NECKAR,LAUFFEN,DE,49.073397,9.145666,7916,160,6335600,3450
49,6335602,NECKAR,PLOCHINGEN,DE,48.707,9.419,3995,245.76,6335601,4928
50,6335603,NECKAR,ROTTWEIL,DE,48.168228,8.618248,454,549.47,6335602,5229
51,6335604,NECKAR,KIRCHENTELLINSFURT,DE,48.531054,9.150636,-999,-999,6335603,4713
54,6335621,ELZ,GUTACH/ELZ,DE,48.119069,7.990062,303,286.5,6335180,4712
55,6335640,PFINZ,BERGHAUSEN,DE,49.008091,8.515945,235,122.27,6335170,4177
56,6335710,MURG,BADROTENFELS,DE,48.818715,8.297143,468.8,132.19,6335200,4177
57,6335730,WIESE,ZELL,DE,47.699494,7.845408,209,423.6,6935051,440
58,6335800,MAIN,KEMMERN,DE,49.951163,10.873488,4251,230,6335303,3257
59,6336050,MOSELLERIVER,COCHEM,DE,50.143351,7.168276,27088,77,6335070,3969
60,6336500,MOSELLERIVER,TRIERUP,DE,49.732189,6.626853,23857,121,6336050,4770
62,6435060,RHINERIVER,LOBITH,NL,51.84,6.11,160800,8.53,-,617
63,6935020,AARE,BERN-SCHOENAU,CH,46.9331,7.448,2945,551.66,6935302,3047
65,6935051,RHINERIVER,"BASEL,RHEINHALLE",CH,47.5594,7.6167,35897,293.864,6935050,3047
67,6935053,RHINERIVER,"RHEINFELDEN,MESSSTATION",CH,47.5607,7.7999,34526,309.697,6935050,3047
68,6935054,RHINERIVER,REKINGEN,CH,47.5704,8.33,14718,370.174,6335400,3041
69,6935055,RHINERIVER,"NEUHAUSEN,FLURLINGERBRUECKE",CH,47.6823,8.6259,11887,429.577,6935054,3041
70,6935060,BIRSE,MONTIER(LACHARRUE),CH,47.284,7.3823,183,567.803,6935051,3047
71,6935145,RHINERIVER,DOMAT/EMS,CH,46.8377,9.4561,3229,622.884,6935146,5723
73,6935300,AARE,"UNTERSIGGENTHAL,STILLI",CH,47.5166,8.2348,17601,373.41,6335400,440
74,6935301,AARE,BRUGG,CH,47.4825,8.1949,11726,379.54,6935300,440
75,6935302,AARE,MURGENTHAL,CH,47.2666,7.8306,10119,447.454,6935301,3047
76,6935400,THUR,ANDELFINGEN,CH,47.5965,8.682,1696,402.751,6935054,3041
77,6935401,THUR,HALDEN,CH,47.5058,9.2116,1085,502.433,6935400,3247
81,6935460,MURG,WAENGI,CH,47.4963,8.953,78.9,512.737,6935400,3247
82,6935500,RHINERIVER,"DIEPOLDSAU,RIETBRUECKE",CH,47.3831,9.6409,6119,456.273,6935055,5723
83,6935540,LANDQUART,FELSENBACH,CH,46.9746,9.6121,616,618.359,6935500,5723
