station_no,date
6335050,1965-04-17
6335050,1965-04-18
6335050,1965-04-19
6335050,1965-08-01
6335050,1965-08-02
6335050,1965-08-03
6335050,1965-11-15
6335050,1965-11-16
6335050,1965-11-17
6335050,1966-03-01
6335050,1966-03-02
6335050,1966-03-03
6335050,1966-06-15
6335050,1966-06-16
6335050,1966-06-17
6335050,1966-09-29
6335050,1966-09-30
6335050,1966-10-01
6335050,1967-01-13
6335050,1967-01-14
6335050,1967-01-15
6335050,1967-04-29
6335050,1967-04-30
6335050,1967-05-01
6335050,1967-08-13
6335050,1967-08-14
6335050,1967-08-15
6335050,1967-11-27
6335050,1967-11-28
6335050,1967-11-29
6335050,1968-03-12
6335050,1968-03-13
6335050,1968-03-14
6335050,1968-06-26
6335050,1968-06-27
6335050,1968-06-28
6335050,1968-10-10
6335050,1968-10-11
6335050,1968-10-12
6335050,1969-01-24
6335050,1969-01-25
6335050,1969-01-26
6335050,1969-05-10
6335050,1969-05-11
6335050,1969-05-12
6335050,1969-08-24
6335050,1969-08-25
6335050,1969-08-26
6335050,1969-12-08
6335050,1969-12-09
6335050,1969-12-10
6335050,1970-03-24
6335050,1970-03-25
6335050,1970-03-26
6335050,1970-07-08
6335050,1970-07-09
6335050,1970-07-10
6335050,1970-10-22
6335050,1970-10-23
6335050,1970-10-24
6335050,1971-02-05
6335050,1971-02-06
6335050,1971-02-07
6335050,1971-05-22
6335050,1971-05-23
6335050,1971-05-24
6335050,1971-09-05
6335050,1971-09-06
6335050,1971-09-07
6335050,1971-12-20
6335050,1971-12-21
6335050,1971-12-22
6335050,1972-04-04
6335050,1972-04-05
6335050,1972-04-06
6335050,1972-07-19
6335050,1972-07-20
6335050,1972-07-21
6335050,1972-11-02
6335050,1972-11-03
6335050,1972-11-04
6335050,1973-02-16
6335050,1973-02-17
6335050,1973-02-18
6335050,1973-06-02
6335050,1973-06-03
6335050,1973-06-04
6335050,1973-09-16
6335050,1973-09-17
6335050,1973-09-18
6335050,1973-12-31
6335050,1974-01-01
6335050,1974-01-02
6335050,1974-04-16
6335050,1974-04-17
6335050,1974-04-18
6335050,1974-07-31
6335050,1974-08-01
6335050,1974-08-02
6335050,1974-11-14
6335050,1974-11-15
6335050,1974-11-16
6335050,1975-02-28
6335050,1975-03-01
6335050,1975-03-02
6335050,1975-06-14
6335050,1975-06-15
6335050,1975-06-16
6335050,1975-09-28
6335050,1975-09-29
6335050,1975-09-30
6335050,1976-01-12
6335050,1976-01-13
6335050,1976-01-14
6335050,1976-04-27
6335050,1976-04-28
6335050,1976-04-29
6335050,1976-08-11
6335050,1976-08-12
6335050,1976-08-13
6335050,1976-11-25
6335050,1976-11-26
6335050,1976-11-27
6335050,1977-03-11
6335050,1977-03-12
6335050,1977-03-13
6335050,1977-06-25
6335050,1977-06-26
6335050,1977-06-27
6335050,1977-10-09
6335050,1977-10-10
6335050,1977-10-11
6335050,1978-01-23
6335050,1978-01-24
6335050,1978-01-25
6335050,1978-05-09
6335050,1978-05-10
6335050,1978-05-11
6335050,1978-08-23
6335050,1978-08-24
6335050,1978-08-25
6335050,1978-12-07
6335050,1978-12-08
6335050,1978-12-09
6335050,1979-03-23
6335050,1979-03-24
6335050,1979-03-25
6335050,1979-07-07
6335050,1979-07-08
6335050,1979-07-09
6335050,1979-10-21
6335050,1979-10-22
6335050,1979-10-23
6335050,1980-02-04
6335050,1980-02-05
6335050,1980-02-06
6335050,1980-05-20
6335050,1980-05-21
6335050,1980-05-22
6335050,1980-09-03
6335050,1980-09-04
6335050,1980-09-05
6335050,1980-12-18
6335050,1980-12-19
6335050,1980-12-20
6335050,1981-04-03
6335050,1981-04-04
6335050,1981-04-05
6335050,1981-07-18
6335050,1981-07-19
6335050,1981-07-20
6335050,1981-11-01
6335050,1981-11-02
6335050,1981-11-03
6335050,1982-02-15
6335050,1982-02-16
6335050,1982-02-17
6335050,1982-06-01
6335050,1982-06-02
6335050,1982-06-03
6335050,1982-09-15
6335050,1982-09-16
6335050,1982-09-17
6335050,1982-12-30
6335050,1982-12-31
6335050,1983-01-01
6335050,1983-04-15
6335050,1983-04-16
6335050,1983-04-17
6335050,1983-07-30
6335050,1983-07-31
6335050,1983-08-01
6335050,1983-11-13
6335050,1983-11-14
6335050,1983-11-15
6335050,1984-02-27
6335050,1984-02-28
6335050,1984-02-29
6335050,1984-06-12
6335050,1984-06-13
6335050,1984-06-14
6335050,1984-09-26
6335050,1984-09-27
6335050,1984-09-28
6335050,1985-01-10
6335050,1985-01-11
6335050,1985-01-12
6335050,1985-04-26
6335050,1985-04-27
6335050,1985-04-28
6335050,1985-08-10
6335050,1985-08-11
6335050,1985-08-12
6335050,1985-11-24
6335050,1985-11-25
6335050,1985-11-26
6335050,1986-03-10
6335050,1986-03-11
6335050,1986-03-12
6335050,1986-06-24
6335050,1986-06-25
6335050,1986-06-26
6335050,1986-10-08
6335050,1986-10-09
6335050,1986-10-10
6335050,1987-01-22
6335050,1987-01-23
6335050,1987-01-24
6335050,1987-05-08
6335050,1987-05-09
6335050,1987-05-10
6335050,1987-08-22
6335050,1987-08-23
6335050,1987-08-24
6335050,1987-12-06
6335050,1987-12-07
6335050,1987-12-08
6335050,1988-03-21
6335050,1988-03-22
6335050,1988-03-23
6335050,1988-07-05
6335050,1988-07-06
6335050,1988-07-07
6335050,1988-10-19
6335050,1988-10-20
6335050,1988-10-21
6335050,1989-02-02
6335050,1989-02-03
6335050,1989-02-04
6335050,1989-05-19
6335050,1989-05-20
6335050,1989-05-21
6335050,1989-09-02
6335050,1989-09-03
6335050,1989-09-04
6335050,1989-12-17
6335050,1989-12-18
6335050,1989-12-19
6335050,1990-04-02
6335050,1990-04-03
6335050,1990-04-04
6335050,1990-07-17
6335050,1990-07-18
6335050,1990-07-19
6335050,1990-10-31
6335050,1990-11-01
6335050,1990-11-02
6335050,1991-02-14
6335050,1991-02-15
6335050,1991-02-16
6335050,1991-05-31
6335050,1991-06-01
6335050,1991-06-02
6335050,1991-09-14
6335050,1991-09-15
6335050,1991-09-16
6335050,1991-12-29
6335050,1991-12-30
6335050,1991-12-31
6335050,1992-04-13
6335050,1992-04-14
6335050,1992-04-15
6335050,1992-07-28
6335050,1992-07-29
6335050,1992-07-30
6335050,1992-11-11
6335050,1992-11-12
6335050,1992-11-13
6335050,1993-02-25
6335050,1993-02-26
6335050,1993-02-27
6335050,1993-06-11
6335050,1993-06-12
6335050,1993-06-13
6335050,1993-09-25
6335050,1993-09-26
6335050,1993-09-27
6335050,1994-01-09
6335050,1994-01-10
6335050,1994-01-11
6335050,1994-04-25
6335050,1994-04-26
6335050,1994-04-27
6335050,1994-08-09
6335050,1994-08-10
6335050,1994-08-11
6335050,1994-11-23
6335050,1994-11-24
6335050,1994-11-25
6335050,1995-03-09
6335050,1995-03-10
6335050,1995-03-11
6335050,1995-06-23
6335050,1995-06-24
6335050,1995-06-25
6335050,1995-10-07
6335050,1995-10-08
6335050,1995-10-09
6335050,1996-01-21
6335050,1996-01-22
6335050,1996-01-23
6335050,1996-05-06
6335050,1996-05-07
6335050,1996-05-08
6335050,1996-08-20
6335050,1996-08-21
6335050,1996-08-22
6335050,1996-12-04
6335050,1996-12-05
6335050,1996-12-06
6335050,1997-03-20
6335050,1997-03-21
6335050,1997-03-22
6335050,1997-07-04
6335050,1997-07-05
6335050,1997-07-06
6335050,1997-10-18
6335050,1997-10-19
6335050,1997-10-20
6335050,1998-02-01
6335050,1998-02-02
6335050,1998-02-03
6335050,1998-05-18
6335050,1998-05-19
6335050,1998-05-20
6335050,1998-09-01
6335050,1998-09-02
6335050,1998-09-03
6335050,1998-12-16
6335050,1998-12-17
6335050,1998-12-18
6335050,1999-04-01
6335050,1999-04-02
6335050,1999-04-03
6335050,1999-07-16
6335050,1999-07-17
6335050,1999-07-18
6335050,1999-10-30
6335050,1999-10-31
6335050,1999-11-01
6335050,2000-02-13
6335050,2000-02-14
6335050,2000-02-15
6335050,2000-05-29
6335050,2000-05-30
6335050,2000-05-31
6335050,2000-09-12
6335050,2000-09-13
6335050,2000-09-14
6335050,2000-12-27
6335050,2000-12-28
6335050,2000-12-29
6335050,2001-04-12
6335050,2001-04-13
6335050,2001-04-14
6335050,2001-07-27
6335050,2001-07-28
6335050,2001-07-29
6335050,2001-11-10
6335050,2001-11-11
6335050,2001-11-12
6335050,2002-02-24
6335050,2002-02-25
6335050,2002-02-26
6335050,2002-06-10
6335050,2002-06-11
6335050,2002-06-12
6335050,2002-09-24
6335050,2002-09-25
6335050,2002-09-26
6335050,2003-01-08
6335050,2003-01-09
6335050,2003-01-10
6335050,2003-04-24
6335050,2003-04-25
6335050,2003-04-26
6335050,2003-08-08
6335050,2003-08-09
6335050,2003-08-10
6335050,2003-11-22
6335050,2003-11-23
6335050,2003-11-24
6335050,2004-03-07
6335050,2004-03-08
6335050,2004-03-09
6335050,2004-06-21
6335050,2004-06-22
6335050,2004-06-23
6335050,2004-10-05
6335050,2004-10-06
6335050,2004-10-07
6335050,2005-01-19
6335050,2005-01-20
6335050,2005-01-21
6335050,2005-05-05
6335050,2005-05-06
6335050,2005-05-07
6335050,2005-08-19
6335050,2005-08-20
6335050,2005-08-21
6335050,2005-12-03
6335050,2005-12-04
6335050,2005-12-05
6335050,2006-03-19
6335050,2006-03-20
6335050,2006-03-21
6335050,2006-07-03
6335050,2006-07-04
6335050,2006-07-05
6335050,2006-10-17
6335050,2006-10-18
6335050,2006-10-19
6335050,2007-01-31
6335050,2007-02-01
6335050,2007-02-02
6335050,2007-05-17
6335050,2007-05-18
6335050,2007-05-19
6335050,2007-08-31
6335050,2007-09-01
6335050,2007-09-02
6335050,2007-12-15
6335050,2007-12-16
6335050,2007-12-17
6335050,2008-03-30
6335050,2008-03-31
6335050,2008-04-01
6335050,2008-07-14
6335050,2008-07-15
6335050,2008-07-16
6335050,2008-10-28
6335050,2008-10-29
6335050,2008-10-30
6335050,2009-02-11
6335050,2009-02-12
6335050,2009-02-13
6335050,2009-05-28
6335050,2009-05-29
6335050,2009-05-30
6335050,2009-09-11
6335050,2009-09-12
6335050,2009-09-13
6335050,2009-12-26
6335050,2009-12-27
6335050,2009-12-28
6335050,2010-04-11
6335050,2010-04-12
6335050,2010-04-13
6335050,2010-07-26
6335050,2010-07-27
6335050,2010-07-28
6335050,2010-11-09
6335050,2010-11-10
6335050,2010-11-11
6335050,2011-02-23
6335050,2011-02-24
6335050,2011-02-25
6335050,2011-06-09
6335050,2011-06-10
6335050,2011-06-11
6335050,2011-09-23
6335050,2011-09-24
6335050,2011-09-25
6335050,2012-01-07
6335050,2012-01-08
6335050,2012-01-09
6335050,2012-04-22
6335050,2012-04-23
6335050,2012-04-24
6335050,2012-08-06
6335050,2012-08-07
6335050,2012-08-08
6335050,2012-11-20
6335050,2012-11-21
6335050,2012-11-22
6335060,1965-04-17
6335060,1965-04-18
6335060,1965-04-19
6335060,1965-08-01
6335060,1965-08-02
6335060,1965-08-03
6335060,1965-11-15
6335060,1965-11-16
6335060,1965-11-17
6335060,1966-03-01
6335060,1966-03-02
6335060,1966-03-03
6335060,1966-06-15
6335060,1966-06-16
6335060,1966-06-17
6335060,1966-09-29
6335060,1966-09-30
6335060,1966-10-01
6335060,1967-01-13
6335060,1967-01-14
6335060,1967-01-15
6335060,1967-04-29
6335060,1967-04-30
6335060,1967-05-01
6335060,1967-08-13
6335060,1967-08-14
6335060,1967-08-15
6335060,1967-11-27
6335060,1967-11-28
6335060,1967-11-29
6335060,1968-03-12
6335060,1968-03-13
6335060,1968-03-14
6335060,1968-06-26
6335060,1968-06-27
6335060,1968-06-28
6335060,1968-10-10
6335060,1968-10-11
6335060,1968-10-12
6335060,1969-01-24
6335060,1969-01-25
6335060,1969-01-26
6335060,1969-05-10
6335060,1969-05-11
6335060,1969-05-12
6335060,1969-08-24
6335060,1969-08-25
6335060,1969-08-26
6335060,1969-12-08
6335060,1969-12-09
6335060,1969-12-10
6335060,1970-03-24
6335060,1970-03-25
6335060,1970-03-26
6335060,1970-07-08
6335060,1970-07-09
6335060,1970-07-10
6335060,1970-10-22
6335060,1970-10-23
6335060,1970-10-24
6335060,1971-02-05
6335060,1971-02-06
6335060,1971-02-07
6335060,1971-05-22
6335060,1971-05-23
6335060,1971-05-24
6335060,1971-09-05
6335060,1971-09-06
6335060,1971-09-07
6335060,1971-12-20
6335060,1971-12-21
6335060,1971-12-22
6335060,1972-04-04
6335060,1972-04-05
6335060,1972-04-06
6335060,1972-07-19
6335060,1972-07-20
6335060,1972-07-21
6335060,1972-11-02
6335060,1972-11-03
6335060,1972-11-04
6335060,1973-02-16
6335060,1973-02-17
6335060,1973-02-18
6335060,1973-06-02
6335060,1973-06-03
6335060,1973-06-04
6335060,1973-09-16
6335060,1973-09-17
6335060,1973-09-18
6335060,1973-12-31
6335060,1974-01-01
6335060,1974-01-02
6335060,1974-04-16
6335060,1974-04-17
6335060,1974-04-18
6335060,1974-07-31
6335060,1974-08-01
6335060,1974-08-02
6335060,1974-11-14
6335060,1974-11-15
6335060,1974-11-16
6335060,1975-02-28
6335060,1975-03-01
6335060,1975-03-02
6335060,1975-06-14
6335060,1975-06-15
6335060,1975-06-16
6335060,1975-09-28
6335060,1975-09-29
6335060,1975-09-30
6335060,1976-01-12
6335060,1976-01-13
6335060,1976-01-14
6335060,1976-04-27
6335060,1976-04-28
6335060,1976-04-29
6335060,1976-08-11
6335060,1976-08-12
6335060,1976-08-13
6335060,1976-11-25
6335060,1976-11-26
6335060,1976-11-27
6335060,1977-03-11
6335060,1977-03-12
6335060,1977-03-13
6335060,1977-06-25
6335060,1977-06-26
6335060,1977-06-27
6335060,1977-10-09
6335060,1977-10-10
6335060,1977-10-11
6335060,1978-01-23
6335060,1978-01-24
6335060,1978-01-25
6335060,1978-05-09
6335060,1978-05-10
6335060,1978-05-11
6335060,1978-08-23
6335060,1978-08-24
6335060,1978-08-25
6335060,1978-12-07
6335060,1978-12-08
6335060,1978-12-09
6335060,1979-03-23
6335060,1979-03-24
6335060,1979-03-25
6335060,1979-07-07
6335060,1979-07-08
6335060,1979-07-09
6335060,1979-10-21
6335060,1979-10-22
6335060,1979-10-23
6335060,1980-02-04
6335060,1980-02-05
6335060,1980-02-06
6335060,1980-05-20
6335060,1980-05-21
6335060,1980-05-22
6335060,1980-09-03
6335060,1980-09-04
6335060,1980-09-05
6335060,1980-12-18
6335060,1980-12-19
6335060,1980-12-20
6335060,1981-04-03
6335060,1981-04-04
6335060,1981-04-05
6335060,1981-07-18
6335060,1981-07-19
6335060,1981-07-20
6335060,1981-11-01
6335060,1981-11-02
6335060,1981-11-03
6335060,1982-02-15
6335060,1982-02-16
6335060,1982-02-17
6335060,1982-06-01
6335060,1982-06-02
6335060,1982-06-03
6335060,1982-09-15
6335060,1982-09-16
6335060,1982-09-17
6335060,1982-12-30
6335060,1982-12-31
6335060,1983-01-01
6335060,1983-04-15
6335060,1983-04-16
6335060,1983-04-17
6335060,1983-07-30
6335060,1983-07-31
6335060,1983-08-01
6335060,1983-11-13
6335060,1983-11-14
6335060,1983-11-15
6335060,1984-02-27
6335060,1984-02-28
6335060,1984-02-29
6335060,1984-06-12
6335060,1984-06-13
6335060,1984-06-14
6335060,1984-09-26
6335060,1984-09-27
6335060,1984-09-28
6335060,1985-01-10
6335060,1985-01-11
6335060,1985-01-12
6335060,1985-04-26
6335060,1985-04-27
6335060,1985-04-28
6335060,1985-08-10
6335060,1985-08-11
6335060,1985-08-12
6335060,1985-11-24
6335060,1985-11-25
6335060,1985-11-26
6335060,1986-03-10
6335060,1986-03-11
6335060,1986-03-12
6335060,1986-06-24
6335060,1986-06-25
6335060,1986-06-26
6335060,1986-10-08
6335060,1986-10-09
6335060,1986-10-10
6335060,1987-01-22
6335060,1987-01-23
6335060,1987-01-24
6335060,1987-05-08
6335060,1987-05-09
6335060,1987-05-10
6335060,1987-08-22
6335060,1987-08-23
6335060,1987-08-24
6335060,1987-12-06
6335060,1987-12-07
6335060,1987-12-08
6335060,1988-03-21
6335060,1988-03-22
6335060,1988-03-23
6335060,1988-07-05
6335060,1988-07-06
6335060,1988-07-07
6335060,1988-10-19
6335060,1988-10-20
6335060,1988-10-21
6335060,1989-02-02
6335060,1989-02-03
6335060,1989-02-04
6335060,1989-05-19
6335060,1989-05-20
6335060,1989-05-21
6335060,1989-09-02
6335060,1989-09-03
6335060,1989-09-04
6335060,1989-12-17
6335060,1989-12-18
6335060,1989-12-19
6335060,1990-04-02
6335060,1990-04-03
6335060,1990-04-04
6335060,1990-07-17
6335060,1990-07-18
6335060,1990-07-19
6335060,1990-10-31
6335060,1990-11-01
6335060,1990-11-02
6335060,1991-02-14
6335060,1991-02-15
6335060,1991-02-16
6335060,1991-05-31
6335060,1991-06-01
6335060,1991-06-02
6335060,1991-09-14
6335060,1991-09-15
6335060,1991-09-16
6335060,1991-12-29
6335060,1991-12-30
6335060,1991-12-31
6335060,1992-04-13
6335060,1992-04-14
6335060,1992-04-15
6335060,1992-07-28
6335060,1992-07-29
6335060,1992-07-30
6335060,1992-11-11
6335060,1992-11-12
6335060,1992-11-13
6335060,1993-02-25
6335060,1993-02-26
6335060,1993-02-27
6335060,1993-06-11
6335060,1993-06-12
6335060,1993-06-13
6335060,1993-09-25
6335060,1993-09-26
6335060,1993-09-27
6335060,1994-01-09
6335060,1994-01-10
6335060,1994-01-11
6335060,1994-04-25
6335060,1994-04-26
6335060,1994-04-27
6335060,1994-08-09
6335060,1994-08-10
6335060,1994-08-11
6335060,1994-11-23
6335060,1994-11-24
6335060,1994-11-25
6335060,1995-03-09
6335060,1995-03-10
6335060,1995-03-11
6335060,1995-06-23
6335060,1995-06-24
6335060,1995-06-25
6335060,1995-10-07
6335060,1995-10-08
6335060,1995-10-09
6335060,1996-01-21
6335060,1996-01-22
6335060,1996-01-23
6335060,1996-05-06
6335060,1996-05-07
6335060,1996-05-08
6335060,1996-08-20
6335060,1996-08-21
6335060,1996-08-22
6335060,1996-12-04
6335060,1996-12-05
6335060,1996-12-06
6335060,1997-03-20
6335060,1997-03-21
6335060,1997-03-22
6335060,1997-07-04
6335060,1997-07-05
6335060,1997-07-06
6335060,1997-10-18
6335060,1997-10-19
6335060,1997-10-20
6335060,1998-02-01
6335060,1998-02-02
6335060,1998-02-03
6335060,1998-05-18
6335060,1998-05-19
6335060,1998-05-20
6335060,1998-09-01
6335060,1998-09-02
6335060,1998-09-03
6335060,1998-12-16
6335060,1998-12-17
6335060,1998-12-18
6335060,1999-04-01
6335060,1999-04-02
6335060,1999-04-03
6335060,1999-07-16
6335060,1999-07-17
6335060,1999-07-18
6335060,1999-10-30
6335060,1999-10-31
6335060,1999-11-01
6335060,2000-02-13
6335060,2000-02-14
6335060,2000-02-15
6335060,2000-05-29
6335060,2000-05-30
6335060,2000-05-31
6335060,2000-09-12
6335060,2000-09-13
6335060,2000-09-14
6335060,2000-12-27
6335060,2000-12-28
6335060,2000-12-29
6335060,2001-04-12
6335060,2001-04-13
6335060,2001-04-14
6335060,2001-07-27
6335060,2001-07-28
6335060,2001-07-29
6335060,2001-11-10
6335060,2001-11-11
6335060,2001-11-12
6335060,2002-02-24
6335060,2002-02-25
6335060,2002-02-26
6335060,2002-06-10
6335060,2002-06-11
6335060,2002-06-12
6335060,2002-09-24
6335060,2002-09-25
6335060,2002-09-26
6335060,2003-01-08
6335060,2003-01-09
6335060,2003-01-10
6335060,2003-04-24
6335060,2003-04-25
6335060,2003-04-26
6335060,2003-08-08
6335060,2003-08-09
6335060,2003-08-10
6335060,2003-11-22
6335060,2003-11-23
6335060,2003-11-24
6335060,2004-03-07
6335060,2004-03-08
6335060,2004-03-09
6335060,2004-06-21
6335060,2004-06-22
6335060,2004-06-23
6335060,2004-10-05
6335060,2004-10-06
6335060,2004-10-07
6335060,2005-01-19
6335060,2005-01-20
6335060,2005-01-21
6335060,2005-05-05
6335060,2005-05-06
6335060,2005-05-07
6335060,2005-08-19
6335060,2005-08-20
6335060,2005-08-21
6335060,2005-12-03
6335060,2005-12-04
6335060,2005-12-05
6335060,2006-03-19
6335060,2006-03-20
6335060,2006-03-21
6335060,2006-07-03
6335060,2006-07-04
6335060,2006-07-05
6335060,2006-10-17
6335060,2006-10-18
6335060,2006-10-19
6335060,2007-01-31
6335060,2007-02-01
6335060,2007-02-02
6335060,2007-05-17
6335060,2007-05-18
6335060,2007-05-19
6335060,2007-08-31
6335060,2007-09-01
6335060,2007-09-02
6335060,2007-12-15
6335060,2007-12-16
6335060,2007-12-17
6335060,2008-03-30
6335060,2008-03-31
6335060,2008-04-01
6335060,2008-07-14
6335060,2008-07-15
6335060,2008-07-16
6335060,2008-10-28
6335060,2008-10-29
6335060,2008-10-30
6335060,2009-02-11
6335060,2009-02-12
6335060,2009-02-13
6335060,2009-05-28
6335060,2009-05-29
6335060,2009-05-30
6335060,2009-09-11
6335060,2009-09-12
6335060,2009-09-13
6335060,2009-12-26
6335060,2009-12-27
6335060,2009-12-28
6335060,2010-04-11
6335060,2010-04-12
6335060,2010-04-13
6335060,2010-07-26
6335060,2010-07-27
6335060,2010-07-28
6335060,2010-11-09
6335060,2010-11-10
6335060,2010-11-11
6335060,2011-02-23
6335060,2011-02-24
6335060,2011-02-25
6335060,2011-06-09
6335060,2011-06-10
6335060,2011-06-11
6335060,2011-09-23
6335060,2011-09-24
6335060,2011-09-25
6335060,2012-01-07
6335060,2012-01-08
6335060,2012-01-09
6335060,2012-04-22
6335060,2012-04-23
6335060,2012-04-24
6335060,2012-08-06
6335060,2012-08-07
6335060,2012-08-08
6335060,2012-11-20
6335060,2012-11-21
6335060,2012-11-22
